BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,524.7478924591622,0.0
147,BIOSCIENCES 4,509.3136637286482,1.346938775510204
147,BIOSCIENCES 4,473.12513696647017,1.346938775510204
147,BIOSCIENCES 4,433.391329725295,1.346938775510204
141,CONSERVATORIUM OF MUSIC,410.51857544591024,0.0
194,BIOSCIENCES 5,387.93126594666523,0.0
144,KENNETH MYER BUILDING,307.11958243965967,21.333333333333332
184,OLD MICROBIOLOGY BUILDING,272.27895911102803,0.988636363636364
183,HOWARD FLOREY INSTITUTE,229.37934318957838,0.0
181,MEDICAL BUILDING,142.01902075316434,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,223.3698628099864,2.363636363636364
177,BAILLIEU LIBRARY,274.8220929301333,5.136363636363637
140,GRAINGER MUSEUM,478.3433404348645,0.0
122,BIOSCIENCES 2,523.46401118769,0.172413793103448
139,BABEL BUILDING,479.8162118800226,1.377358490566038
121,BOTANY POTTING SHED,507.53712307390794,0.0
101,BEAUREPAIRE CENTRE,657.9817651563632,0.0
112,UNIVERSITY HOUSE,594.9723297003591,0.0
191,JOHN MEDLEY BUILDING,214.2610657245398,0.0
191,JOHN MEDLEY BUILDING,232.7162139352449,0.0
187,GATEKEEPER'S LODGE,154.70691134148754,0.0
149,OLD ARTS BUILDING,372.89269252149217,1.595238095238095
143,BIOSCIENCES 3,484.3373834264783,0.0
128,OLD PHYSICS BUILDING,466.93586351453024,21.0
130,UNION HOUSE,528.4839782950615,0.0
150,OLD QUADRANGLE BUILDING,454.048670700582,0.0
152,RAYMOND PRIESTLEY BUILDING,495.12790020788094,0.0
152,RAYMOND PRIESTLEY BUILDING,510.15682343525964,0.0
150,OLD QUADRANGLE BUILDING,399.65807732596386,0.0
150,OLD QUADRANGLE BUILDING,408.40639640647595,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,280.4720559594492,0.447674418604651
113,BALDWIN SPENCER BUILDING,618.3173233424791,2.375
173,OLD ENGINEERING SCHOOL,254.5113360770009,17.75
166,OLD METALLURGY BUILDING,307.0371265715443,1.2
163,WALTER BOAS BUILDING,360.47842158644823,1.645833333333333
161,BUILDING 161,416.6133433274778,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),176.61869827290647,0.27
153,CHEMISTRY BUILDING (WEST WING),437.1730608040997,0.227272727272727
155,OLD GEOLOGY BUILDING (NORTH WING),521.4078615478392,7.466666666666667
115,REDMOND BARRY BUILDING,658.7569383921382,2.631578947368421
115,REDMOND BARRY BUILDING,637.2194946752223,2.631578947368421
165,CHEMICAL ENGINEERING 1,383.02150399864826,0.063157894736842
192,DAVID CARO BUILDING,663.2313277296962,0.517441860465116
133,GLYN DAVIS BUILDING,558.1219889977082,1.759615384615385
160,PETER HALL BUILDING,529.4535550093054,1.063829787234043
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),453.1411399217032,1.132420091324201
198,1888 BUILDING,378.8268110911478,0.0
103,NONA LEE SPORTS CENTRE,704.31344750569,0.0
168,DOUG MCDONELL BUILDING,409.9496821550887,0.497395833333333
189,FRANK TATE BUILDING,434.7134325387647,0.0
158,SIDNEY MYER ASIA CENTRE,512.523086417974,1.666666666666667
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),375.09989721994856,0.0
162,ALICE HOY BUILDING,471.61820211903205,0.60377358490566
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),397.37464223547516,0.0
192,DAVID CARO BUILDING,704.7188612850471,0.517441860465116
192,DAVID CARO BUILDING,672.7959475971378,0.517441860465116
136,IAN POTTER MUSEUM OF ART,652.9110741702423,2.6
134,ELISABETH MURDOCH BUILDING,610.489947549609,3.387096774193548
103,NONA LEE SPORTS CENTRE,678.7408134743271,0.0
498,ERNIE CROPLEY SPORTS PAVILION,1010.1348696943147,0.0
503,MAINTENANCE GARAGE,1038.667429586548,0.0
234,GRAND STAND (MU SPORT),923.5701828146947,0.0
186,BUILDING 186,182.41645433568323,0.0
148A,ARTS WEST BUILDING (NORTH WING),386.7618593274701,0.0
125,BUILDING 125,601.8774796292843,0.0
151,WILSON HALL,365.40507261566717,0.0
154,CHEMISTRY BUILDING (EAST WING),469.8526987907678,0.19047619047619
174,INFRASTRUCTURE ENGINEERING (BLOCK C),199.80397586027874,0.066666666666667
176,INFRASTRUCTURE ENGINEERING (BLOCK D),244.74659566090403,0.583941605839416
170,MECHANICAL ENGINEERING BUILDING,304.34217313980696,0.377777777777778
169,ENGINEERING WORKSHOPS,328.2907098922605,0.0
120,SYSTEM GARDEN TOWER,556.8480803900709,0.0
123,BIOSCIENCES 1,623.3335240903007,4.666666666666667
156,OLD GEOLOGY BUILDING (SOUTH WING),485.446963311885,2.3
148B,ARTS WEST BUILDING (WEST WING),389.24384694527714,0.0
203,SECURITY OFFICE,208.77157745201768,4.666666666666667
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),396.3099322883742,0.0
384,UNIVERSITY BUSINESS SERVICES BUILDING,330.9306836490679,2.727272727272727
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),244.32719160391733,0.571428571428571
257,187 GRATTAN ST,336.96100025501653,2.347826086956522
353,159 BARRY ST,68.98562953301881,8.0
105,FBE BUILDING,0.02930773769138704,0.924901185770751
206,214 BERKELEY ST (MCM PRACTICE ROOMS),38.1683524701339,0.0
106,LAW BUILDING,176.36176377610107,0.459876543209877
281,204 LYGON ST (LEVELS 4 & 5),829.0219457290217,4.666666666666667
278,100 LEICESTER ST (MGSE),389.02448975428865,1.116981132075472
263,KWONG LEE DOW BUILDING (MGSE),411.7216638727137,1.438095238095238
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),232.27982822868012,1.587301587301587
326,95-109 BARRY ST (FBE),80.06153176922439,0.0
222,"766 ELIZABETH ST (LEVELS G, 3, 4)",84.7413404657365,0.0
250,233 BOUVERIE ST (FBE),229.60524317871315,0.0
243,715 SWANSTON ST (MUP & TC),398.05782236577176,0.0
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),21.82781441205361,0.0
207,202-206 BERKELEY ST (MDHS),14.833631432351673,3.0
242,GRATTAN INSTITUTE (8-14 MALVINA PLACE),233.88247797949083,0.0
220,780 ELIZABETH ST,131.0255922596272,2.470588235294118
107,UNIVERSITY SQUARE CARPARK,39.94883519462278,0.0
224,169 BERKELEY ST (MU SPORT),123.38654299175631,0.0
352,157 BARRY ST,60.71593148601579,0.0
