BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,427.57528744986126,0.0
147,BIOSCIENCES 4,393.14295277407,1.346938775510204
147,BIOSCIENCES 4,393.8898847122311,1.346938775510204
147,BIOSCIENCES 4,421.4304112176758,1.346938775510204
141,CONSERVATORIUM OF MUSIC,457.45734930875807,0.0
194,BIOSCIENCES 5,444.6149962922311,0.0
144,KENNETH MYER BUILDING,472.8714536402488,21.333333333333332
184,OLD MICROBIOLOGY BUILDING,532.6594982183823,0.988636363636364
183,HOWARD FLOREY INSTITUTE,571.8176546696535,0.0
181,MEDICAL BUILDING,525.3228192423525,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,478.91957019356676,2.363636363636364
177,BAILLIEU LIBRARY,404.6568257660359,5.136363636363637
140,GRAINGER MUSEUM,466.4287125431145,0.0
122,BIOSCIENCES 2,305.50904234836537,0.172413793103448
139,BABEL BUILDING,325.91794095518503,1.377358490566038
121,BOTANY POTTING SHED,374.12380409669777,0.0
101,BEAUREPAIRE CENTRE,117.72682430092817,0.0
112,UNIVERSITY HOUSE,228.02967323634272,0.0
191,JOHN MEDLEY BUILDING,457.00119350246786,0.0
191,JOHN MEDLEY BUILDING,440.35351735899286,0.0
187,GATEKEEPER'S LODGE,529.0676007548082,0.0
149,OLD ARTS BUILDING,291.42802918161254,1.595238095238095
143,BIOSCIENCES 3,267.21522337405514,0.0
128,OLD PHYSICS BUILDING,220.41028016897604,21.0
130,UNION HOUSE,133.4890838214942,0.0
150,OLD QUADRANGLE BUILDING,221.6274403442399,0.0
152,RAYMOND PRIESTLEY BUILDING,196.5177433286936,0.0
152,RAYMOND PRIESTLEY BUILDING,176.1463496554814,0.0
150,OLD QUADRANGLE BUILDING,272.840531755484,0.0
150,OLD QUADRANGLE BUILDING,244.6634956290343,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,350.4333098555684,0.447674418604651
113,BALDWIN SPENCER BUILDING,32.68909056563485,2.375
173,OLD ENGINEERING SCHOOL,420.1072054814494,17.75
166,OLD METALLURGY BUILDING,357.397499022141,1.2
163,WALTER BOAS BUILDING,295.0137384861918,1.645833333333333
161,BUILDING 161,292.8062969411332,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),507.79574597484157,0.27
153,CHEMISTRY BUILDING (WEST WING),197.5826028866217,0.227272727272727
155,OLD GEOLOGY BUILDING (NORTH WING),200.55526203500068,7.466666666666667
115,REDMOND BARRY BUILDING,22.089409935382204,2.631578947368421
115,REDMOND BARRY BUILDING,46.933643280308715,2.631578947368421
165,CHEMICAL ENGINEERING 1,313.1286156488328,0.063157894736842
192,DAVID CARO BUILDING,120.11410111075693,0.517441860465116
133,GLYN DAVIS BUILDING,82.77285304077544,1.759615384615385
160,PETER HALL BUILDING,234.45689878152265,1.063829787234043
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),471.54368140636535,1.132420091324201
198,1888 BUILDING,446.2835084685646,0.0
168,DOUG MCDONELL BUILDING,358.3821962570475,0.497395833333333
189,FRANK TATE BUILDING,393.2864063380718,0.0
158,SIDNEY MYER ASIA CENTRE,343.24194223021794,1.666666666666667
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),403.2831609201003,0.0
162,ALICE HOY BUILDING,295.213416029032,0.60377358490566
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),382.0108239485832,0.0
192,DAVID CARO BUILDING,101.55747178848995,0.517441860465116
192,DAVID CARO BUILDING,159.75690101040726,0.517441860465116
136,IAN POTTER MUSEUM OF ART,200.31383683112315,2.6
134,ELISABETH MURDOCH BUILDING,151.46151275396227,3.387096774193548
103,NONA LEE SPORTS CENTRE,4.830646049209396,0.0
498,ERNIE CROPLEY SPORTS PAVILION,359.02406376115283,0.0
503,MAINTENANCE GARAGE,340.62121117097513,0.0
234,GRAND STAND (MU SPORT),328.75177589288677,0.0
186,BUILDING 186,509.90178091850515,0.0
148A,ARTS WEST BUILDING (NORTH WING),366.478103905368,0.0
125,BUILDING 125,402.66439499419147,0.0
151,WILSON HALL,267.30311431359326,0.0
154,CHEMISTRY BUILDING (EAST WING),217.31326515665705,0.19047619047619
174,INFRASTRUCTURE ENGINEERING (BLOCK C),501.0578249426174,0.066666666666667
176,INFRASTRUCTURE ENGINEERING (BLOCK D),496.6486014576815,0.583941605839416
170,MECHANICAL ENGINEERING BUILDING,467.9559897550701,0.377777777777778
169,ENGINEERING WORKSHOPS,406.5758006807353,0.0
120,SYSTEM GARDEN TOWER,381.76276944142467,0.0
123,BIOSCIENCES 1,308.97349460515875,4.666666666666667
156,OLD GEOLOGY BUILDING (SOUTH WING),237.5824652156043,2.3
148B,ARTS WEST BUILDING (WEST WING),410.02711938098304,0.0
203,SECURITY OFFICE,566.9412193189669,4.666666666666667
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),618.1706845300965,0.0
384,UNIVERSITY BUSINESS SERVICES BUILDING,649.5766979352168,2.727272727272727
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),566.6657821999162,0.571428571428571
257,187 GRATTAN ST,572.0636124692234,2.347826086956522
353,159 BARRY ST,632.0950024935185,8.0
105,FBE BUILDING,730.1646621665055,0.924901185770751
206,214 BERKELEY ST (MCM PRACTICE ROOMS),691.2651575736451,0.0
106,LAW BUILDING,869.48806584406,0.459876543209877
281,204 LYGON ST (LEVELS 4 & 5),921.3214812286893,4.666666666666667
278,100 LEICESTER ST (MGSE),1040.8928412814973,1.116981132075472
263,KWONG LEE DOW BUILDING (MGSE),1066.3088029668427,1.438095238095238
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),683.8134073940341,1.587301587301587
326,95-109 BARRY ST (FBE),806.0961091108865,0.0
222,"766 ELIZABETH ST (LEVELS G, 3, 4)",736.2449995193585,0.0
250,233 BOUVERIE ST (FBE),644.7442715255952,0.0
243,715 SWANSTON ST (MUP & TC),661.2919361029975,0.0
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),709.5772630418201,0.0
207,202-206 BERKELEY ST (MDHS),718.7344908632703,3.0
242,GRATTAN INSTITUTE (8-14 MALVINA PLACE),593.5707549401052,0.0
220,780 ELIZABETH ST,734.4286384067962,2.470588235294118
107,UNIVERSITY SQUARE CARPARK,578.3672287640783,0.0
224,169 BERKELEY ST (MU SPORT),850.9845062853835,0.0
352,157 BARRY ST,639.7437358681518,0.0
251,155 BARRY ST,647.4246644509742,0.0
221,45 BARRY ST (LEVEL 3),996.6445547177358,1.194029850746269
385,UNIVERSITY HEALTH SERVICES BUILDING,797.7955758101458,25.0
266,11 BARRY ST (BUSINESS SERVICES),1041.442701982352,0.551351351351351
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),566.6888345565625,1.090909090909091
246,550 SWANSTON ST (AUDIOLOGY CLINIC),1045.2706934154317,0.56
283,11-15 ARGYLE PLACE SOUTH (CO2CRC),1078.2865314553494,0.0
249,183 BOUVERIE ST (LINCOLN SQUARE GYM),789.7181964448135,0.0
104,ALAN GILBERT BUILDING,617.3322911118356,0.889240506329114
252,156-162 PELHAM ST (STUDENT SERVICES),796.0533216846306,0.0
253,164-170 PELHAM ST (STUDENT SERVICES),796.5281028211517,0.0
254,172 BOUVERIE ST (MSE),603.0944861612212,0.222222222222222
269,170 BOUVERIE ST (ATLANTIC FELLOWS PROGRAM),612.9795601030098,8.0
245,32 LINCOLN SQUARE NORTH,692.1847225293335,1.15625
261,203 BOUVERIE ST (BIOMEDICAL ENGINEERING),746.266146097615,4.5
363,153 BARRY ST (AUSTRALIA-INDIA INSTITUTE),655.1384083569532,0.0
388,147-151 BARRY ST (AUSTRALIA-INDIA INSTITUTE),662.462523534473,0.0
337,131-137 BARRY ST (FBE),704.31344750569,0.0
260,200 BERKELEY ST (MSHS),735.3227253755576,0.0
110,THE SPOT,799.1220252468177,1.452830188679245
394,139 BARRY ST (STATISTICAL CONSULTING CENTRE),696.6501617502654,10.0
390,141 BARRY ST (POCHE CENTRE),688.434511260732,10.0
225,221 BERKELEY ST (CYP),714.2174457458409,0.0
401,NANCY MILLIS BUILDING,886.4623261140304,0.0
405,ELIZABETH BLACKBURN SCHOOL OF SCIENCES,877.5735207645739,0.0
404,BIO21 BUSINESS INCUBATOR BUILDING,911.9547522286002,0.0
402,GATE KEEPER'S HOUSE,1024.6981530696091,0.0
102,DAVID PENINGTON BUILDING,955.0951813366274,0.616279069767442
400,VETERINARY PRECLINICAL SCIENCES BUILDING,1031.021556696218,0.325581395348837
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",1711.4475938755184,1.422680412371134
387,UNIVERSITY CAMPUS SERVICES BUILDING,1090.6461274012436,3.0
232,"535 ELIZABETH ST (LEVELS 3, 4, 5)",1350.893874472505,2.828125
256,247-249 BOUVERIE ST,592.5169779922525,0.0
403,BUILDING 403,931.7071356440929,0.0
200,MCCOY BUILDING,248.04217474391834,0.890625
201,THOMAS CHERRY BUILDING,258.50048602716663,3.5
344,PETER MCPHEE CENTRE,335.82276155049504,0.0
244,800 SWANSTON ST (EYECARE CLINIC),298.1292915033551,0.0
333,EASTERN PRECINCT UNDERGROUND CARPARK,326.9659387793495,0.0
262,228 QUEENSBERRY ST (CHILDCARE),1066.5042968904343,0.0
