BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,148.0492271135346,0.0
147,BIOSCIENCES 4,139.13049560884525,1.346938775510204
147,BIOSCIENCES 4,101.94181014534028,1.346938775510204
147,BIOSCIENCES 4,61.93566795995112,1.346938775510204
141,CONSERVATORIUM OF MUSIC,25.369711589921177,0.0
194,BIOSCIENCES 5,15.438274371948886,0.0
184,OLD MICROBIOLOGY BUILDING,7.408637419007008,0.988636363636364
183,HOWARD FLOREY INSTITUTE,59.91318890202361,0.0
181,MEDICAL BUILDING,36.31127756083389,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,55.96043395111163,2.363636363636364
177,BAILLIEU LIBRARY,17.862021620447184,5.136363636363637
140,GRAINGER MUSEUM,89.77538588761497,0.0
122,BIOSCIENCES 2,168.60795585892475,0.172413793103448
139,BABEL BUILDING,123.15411949486035,1.377358490566038
121,BOTANY POTTING SHED,144.26808902152885,0.0
101,BEAUREPAIRE CENTRE,327.18608537557657,0.0
112,UNIVERSITY HOUSE,251.56353405659632,0.0
191,JOHN MEDLEY BUILDING,173.38931965399465,0.0
191,JOHN MEDLEY BUILDING,226.63825699231896,0.0
187,GATEKEEPER'S LODGE,211.77712562506724,0.0
149,OLD ARTS BUILDING,96.69987636817162,1.595238095238095
143,BIOSCIENCES 3,160.17779636967555,0.0
128,OLD PHYSICS BUILDING,181.9645955521949,21.0
130,UNION HOUSE,210.90954418181474,0.0
150,OLD QUADRANGLE BUILDING,200.93391294587883,0.0
152,RAYMOND PRIESTLEY BUILDING,274.5733896606916,0.0
152,RAYMOND PRIESTLEY BUILDING,320.8355974946569,0.0
150,OLD QUADRANGLE BUILDING,163.80750749424476,0.0
150,OLD QUADRANGLE BUILDING,226.06371617876187,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,244.27589215938337,0.447674418604651
113,BALDWIN SPENCER BUILDING,364.4899027586887,2.375
173,OLD ENGINEERING SCHOOL,292.82748972872014,17.75
166,OLD METALLURGY BUILDING,286.98358727566085,1.2
163,WALTER BOAS BUILDING,306.56357233390133,1.645833333333333
161,BUILDING 161,335.86731208764155,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),256.4235973120596,0.27
153,CHEMISTRY BUILDING (WEST WING),312.4097984009017,0.227272727272727
155,OLD GEOLOGY BUILDING (NORTH WING),415.3904293991438,7.466666666666667
115,REDMOND BARRY BUILDING,439.3496359350388,2.631578947368421
115,REDMOND BARRY BUILDING,425.6794460211529,2.631578947368421
165,CHEMICAL ENGINEERING 1,335.73711785501956,0.063157894736842
192,DAVID CARO BUILDING,516.2371111095725,0.517441860465116
133,GLYN DAVIS BUILDING,385.2635156207207,1.759615384615385
160,PETER HALL BUILDING,463.72648985111704,1.063829787234043
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),552.0524038797738,1.132420091324201
198,1888 BUILDING,461.47601671043833,0.0
103,NONA LEE SPORTS CENTRE,472.8714536402488,0.0
168,DOUG MCDONELL BUILDING,414.3936344161657,0.497395833333333
189,FRANK TATE BUILDING,484.7253735967674,0.0
158,SIDNEY MYER ASIA CENTRE,542.1828916728981,1.666666666666667
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),417.32835106629585,0.0
162,ALICE HOY BUILDING,430.8649358745641,0.60377358490566
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),416.5430663073808,0.0
192,DAVID CARO BUILDING,537.6954645414689,0.517441860465116
192,DAVID CARO BUILDING,542.2519959827167,0.517441860465116
136,IAN POTTER MUSEUM OF ART,559.1215863950648,2.6
134,ELISABETH MURDOCH BUILDING,488.8079817102062,3.387096774193548
103,NONA LEE SPORTS CENTRE,409.0478228264667,0.0
498,ERNIE CROPLEY SPORTS PAVILION,674.9597991460768,0.0
503,MAINTENANCE GARAGE,726.1962070963775,0.0
234,GRAND STAND (MU SPORT),581.200820834278,0.0
186,BUILDING 186,137.4714288454567,0.0
148A,ARTS WEST BUILDING (NORTH WING),44.86030668017463,0.0
125,BUILDING 125,225.75804332344885,0.0
151,WILSON HALL,242.1837362393287,0.0
154,CHEMISTRY BUILDING (EAST WING),380.306796416976,0.19047619047619
174,INFRASTRUCTURE ENGINEERING (BLOCK C),287.2650263469309,0.066666666666667
176,INFRASTRUCTURE ENGINEERING (BLOCK D),343.52841212345595,0.583941605839416
170,MECHANICAL ENGINEERING BUILDING,399.08566891071337,0.377777777777778
169,ENGINEERING WORKSHOPS,368.22938479421686,0.0
120,SYSTEM GARDEN TOWER,189.56095581896028,0.0
123,BIOSCIENCES 1,261.7874293478078,4.666666666666667
156,OLD GEOLOGY BUILDING (SOUTH WING),408.5594162953113,2.3
148B,ARTS WEST BUILDING (WEST WING),31.736664210733693,0.0
203,SECURITY OFFICE,374.6403001508273,4.666666666666667
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),560.5616868356066,0.0
384,UNIVERSITY BUSINESS SERVICES BUILDING,524.7557242097452,2.727272727272727
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),397.158207953571,0.571428571428571
257,187 GRATTAN ST,488.4679634933936,2.347826086956522
