BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,455.0473664424778,0.0
147,BIOSCIENCES 4,447.8319588581393,0.102040816326531
147,BIOSCIENCES 4,410.53502544782646,0.102040816326531
147,BIOSCIENCES 4,370.87111564565225,0.102040816326531
141,CONSERVATORIUM OF MUSIC,330.22151813567507,0.0
194,BIOSCIENCES 5,323.319196922622,0.0
144,KENNETH MYER BUILDING,240.53098840433162,1.416666666666667
184,OLD MICROBIOLOGY BUILDING,196.69973920954595,0.068181818181818
183,HOWARD FLOREY INSTITUTE,139.6715139055493,0.0
181,MEDICAL BUILDING,96.53813388116518,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,198.97365402840245,0.272727272727273
177,BAILLIEU LIBRARY,236.8293883671705,0.454545454545455
140,GRAINGER MUSEUM,394.096679473292,0.0
122,BIOSCIENCES 2,479.169081620734,0.017241379310345
139,BABEL BUILDING,433.15194809790586,0.094339622641509
121,BOTANY POTTING SHED,454.2160439167154,0.0
101,BEAUREPAIRE CENTRE,632.5797717068702,0.0
112,UNIVERSITY HOUSE,560.2298737035627,0.0
191,JOHN MEDLEY BUILDING,264.62975320740213,0.0
191,JOHN MEDLEY BUILDING,310.5828894528428,0.0
187,GATEKEEPER'S LODGE,230.16266771748056,0.0
149,OLD ARTS BUILDING,354.55871136628474,0.166666666666667
143,BIOSCIENCES 3,460.08941661534374,0.0
128,OLD PHYSICS BUILDING,458.6943678984582,1.0
130,UNION HOUSE,508.96051014890156,0.0
150,OLD QUADRANGLE BUILDING,458.9279320290006,0.0
152,RAYMOND PRIESTLEY BUILDING,518.3490849397548,0.0
152,RAYMOND PRIESTLEY BUILDING,548.1167624090458,0.0
150,OLD QUADRANGLE BUILDING,405.85716150159357,0.0
150,OLD QUADRANGLE BUILDING,437.5350946609332,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,353.372455217739,0.069767441860465
113,BALDWIN SPENCER BUILDING,634.4657135870696,0.375
173,OLD ENGINEERING SCHOOL,360.3705863047633,2.0
166,OLD METALLURGY BUILDING,393.58330801106496,0.1
163,WALTER BOAS BUILDING,437.42055762336895,0.229166666666667
161,BUILDING 161,488.39794535143824,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),284.77133008974954,0.02
153,CHEMISTRY BUILDING (WEST WING),493.9331881717729,0.022727272727273
155,OLD GEOLOGY BUILDING (NORTH WING),593.795151058271,0.733333333333333
115,REDMOND BARRY BUILDING,692.6590048244419,0.263157894736842
115,REDMOND BARRY BUILDING,673.6814186955231,0.263157894736842
165,CHEMICAL ENGINEERING 1,465.7403993100096,0.010526315789474
192,DAVID CARO BUILDING,730.2402300619567,0.046511627906977
133,GLYN DAVIS BUILDING,606.6109867234317,0.221153846153846
160,PETER HALL BUILDING,617.4924877494478,0.085106382978723
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),599.3844020970316,0.123287671232877
198,1888 BUILDING,514.9035693836584,0.0
103,NONA LEE SPORTS CENTRE,734.4286384067962,0.0
168,DOUG MCDONELL BUILDING,516.2268808720067,0.052083333333333
189,FRANK TATE BUILDING,561.1667291274068,0.0
158,SIDNEY MYER ASIA CENTRE,636.4863565691372,0.074074074074074
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),495.2252064174845,0.0
162,ALICE HOY BUILDING,564.4304726632436,0.056603773584906
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),508.8978576665481,0.0
192,DAVID CARO BUILDING,766.544665533483,0.046511627906977
192,DAVID CARO BUILDING,744.3777932474395,0.046511627906977
136,IAN POTTER MUSEUM OF ART,737.5217955694999,0.1
134,ELISABETH MURDOCH BUILDING,682.6932115520954,0.290322580645161
103,NONA LEE SPORTS CENTRE,689.344306789992,0.0
498,ERNIE CROPLEY SPORTS PAVILION,984.0923830712811,0.0
503,MAINTENANCE GARAGE,1030.295647616978,0.0
234,GRAND STAND (MU SPORT),891.176003884813,0.0
186,BUILDING 186,201.90789119186186,0.0
148A,ARTS WEST BUILDING (NORTH WING),344.2219999279032,0.0
125,BUILDING 125,531.9812145062174,0.0
151,WILSON HALL,411.60654019030983,0.0
154,CHEMISTRY BUILDING (EAST WING),545.0139453800291,0.015873015873016
174,INFRASTRUCTURE ENGINEERING (BLOCK C),317.74173697899096,0.011111111111111
176,INFRASTRUCTURE ENGINEERING (BLOCK D),373.3562916796201,0.102189781021898
170,MECHANICAL ENGINEERING BUILDING,441.8427260663367,0.022222222222222
169,ENGINEERING WORKSHOPS,447.2449310880365,0.0
120,SYSTEM GARDEN TOWER,499.2477045193148,0.0
123,BIOSCIENCES 1,571.3861424727401,0.166666666666667
156,OLD GEOLOGY BUILDING (SOUTH WING),566.3583963321385,0.3
148B,ARTS WEST BUILDING (WEST WING),339.7380133341537,0.0
203,SECURITY OFFICE,361.82036682486387,0.333333333333333
348,723 SWANSTON ST (MELBOURNE DENTAL CLINIC LTD),553.1546116501391,0.0
384,UNIVERSITY BUSINESS SERVICES BUILDING,489.93405854682976,0.272727272727273
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),390.95070685067935,0.142857142857143
257,187 GRATTAN ST,490.5961461834746,0.217391304347826
353,159 BARRY ST,147.49737011833892,1.0
105,FBE BUILDING,130.82874109244213,0.075098814229249
206,214 BERKELEY ST (MCM PRACTICE ROOMS),70.13771969236838,0.0
106,LAW BUILDING,293.13185630076987,0.049382716049383
281,204 LYGON ST (LEVELS 4 & 5),990.445977441748,0.666666666666667
278,100 LEICESTER ST (MGSE),512.7738841308045,0.147169811320755
263,KWONG LEE DOW BUILDING (MGSE),532.3164508214923,0.19047619047619
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),393.51125956254464,0.103174603174603
326,95-109 BARRY ST (FBE),194.34458931288222,0.0
222,"766 ELIZABETH ST (LEVELS G, 3, 4)",0.0,0.0
250,233 BOUVERIE ST (FBE),388.4196572692341,0.0
243,715 SWANSTON ST (MUP & TC),557.1210127341425,0.0
204,208-210 BERKELEY ST (MCM PRACTICE ROOMS),70.25181332513398,0.0
207,202-206 BERKELEY ST (MDHS),71.91604130430363,0.5
242,GRATTAN INSTITUTE (8-14 MALVINA PLACE),387.96261506266774,0.0
107,UNIVERSITY SQUARE CARPARK,197.12276253796534,0.0
224,169 BERKELEY ST (MU SPORT),130.30299713472962,0.0
352,157 BARRY ST,145.84724674213612,0.0
251,155 BARRY ST,144.65158218127536,0.0
221,45 BARRY ST (LEVEL 3),388.1796596517492,0.164179104477612
385,UNIVERSITY HEALTH SERVICES BUILDING,822.7572008887917,2.0
266,11 BARRY ST (BUSINESS SERVICES),445.5554736014095,0.072972972972973
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),414.8032473333298,0.181818181818182
246,550 SWANSTON ST (AUDIOLOGY CLINIC),755.0987391488617,0.1
283,11-15 ARGYLE PLACE SOUTH (CO2CRC),950.2634060030394,0.0
249,183 BOUVERIE ST (LINCOLN SQUARE GYM),446.8416509778553,0.0
104,ALAN GILBERT BUILDING,70.6367404723614,0.104430379746835
252,156-162 PELHAM ST (STUDENT SERVICES),400.2789304753386,0.0
253,164-170 PELHAM ST (STUDENT SERVICES),385.6020253218401,0.0
254,172 BOUVERIE ST (MSE),490.1345761581971,0.111111111111111
269,170 BOUVERIE ST (ATLANTIC FELLOWS PROGRAM),489.8795693050499,1.0
245,32 LINCOLN SQUARE NORTH,491.9007783553813,0.125
261,203 BOUVERIE ST (BIOMEDICAL ENGINEERING),401.11043499915155,0.25
363,153 BARRY ST (AUSTRALIA-INDIA INSTITUTE),143.10707725027675,0.0
388,147-151 BARRY ST (AUSTRALIA-INDIA INSTITUTE),132.9503764663444,0.0
337,131-137 BARRY ST (FBE),131.0255922596272,0.0
260,200 BERKELEY ST (MSHS),77.69147446564418,0.0
110,THE SPOT,124.12693125810642,0.090566037735849
394,139 BARRY ST (STATISTICAL CONSULTING CENTRE),114.68004257306788,1.0
390,141 BARRY ST (POCHE CENTRE),114.4108243983502,1.0
225,221 BERKELEY ST (CYP),0.0,0.0
401,NANCY MILLIS BUILDING,525.7416499963309,0.0
405,ELIZABETH BLACKBURN SCHOOL OF SCIENCES,557.3998742641705,0.0
404,BIO21 BUSINESS INCUBATOR BUILDING,526.7161138302747,0.0
402,GATE KEEPER'S HOUSE,634.8535202437973,0.0
102,DAVID PENINGTON BUILDING,516.6227616233934,0.040697674418605
400,VETERINARY PRECLINICAL SCIENCES BUILDING,597.0835694120798,0.069767441860465
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",1495.2733457493837,0.206185567010309
387,UNIVERSITY CAMPUS SERVICES BUILDING,309.3048018272198,0.44
232,"535 ELIZABETH ST (LEVELS 3, 4, 5)",702.8428490598806,0.421875
256,247-249 BOUVERIE ST,428.91956989608644,0.0
403,BUILDING 403,582.0528117968954,0.0
200,MCCOY BUILDING,841.1005836415791,0.078125
201,THOMAS CHERRY BUILDING,813.5437718979391,0.318181818181818
344,PETER MCPHEE CENTRE,782.5619091244072,0.0
244,800 SWANSTON ST (EYECARE CLINIC),779.3854676522728,0.0
333,EASTERN PRECINCT UNDERGROUND CARPARK,827.3128659129952,0.0
262,228 QUEENSBERRY ST (CHILDCARE),583.6827120710548,0.0
