BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,132.06448889202537,0.0
147,BIOSCIENCES 4,108.47739810113215,0.102040816326531
147,BIOSCIENCES 4,130.33600756247142,0.102040816326531
147,BIOSCIENCES 4,163.48369866749005,0.102040816326531
141,CONSERVATORIUM OF MUSIC,205.989098089366,0.0
194,BIOSCIENCES 5,206.9915276429184,0.0
144,KENNETH MYER BUILDING,251.56353405659632,1.416666666666667
184,OLD MICROBIOLOGY BUILDING,322.46837516790526,0.068181818181818
183,HOWARD FLOREY INSTITUTE,383.83637426714046,0.0
181,MEDICAL BUILDING,343.2986238881395,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,327.1301803357924,0.272727272727273
177,BAILLIEU LIBRARY,210.54521550381395,0.454545454545455
140,GRAINGER MUSEUM,185.75344484479325,0.0
122,BIOSCIENCES 2,11.093001318830508,0.017241379310345
139,BABEL BUILDING,82.13517818420809,0.094339622641509
121,BOTANY POTTING SHED,100.67412663082155,0.0
101,BEAUREPAIRE CENTRE,22.02780670672535,0.0
191,JOHN MEDLEY BUILDING,368.2867170999401,0.0
191,JOHN MEDLEY BUILDING,384.5145012888824,0.0
187,GATEKEEPER'S LODGE,445.8868124354188,0.0
149,OLD ARTS BUILDING,122.3387007161901,0.166666666666667
143,BIOSCIENCES 3,71.63418543607867,0.0
128,OLD PHYSICS BUILDING,97.86655839325888,1.0
130,UNION HOUSE,14.95162164319416,0.0
150,OLD QUADRANGLE BUILDING,136.87860050824756,0.0
152,RAYMOND PRIESTLEY BUILDING,159.75655288559207,0.0
152,RAYMOND PRIESTLEY BUILDING,198.29814950865992,0.0
150,OLD QUADRANGLE BUILDING,167.13078358472728,0.0
150,OLD QUADRANGLE BUILDING,187.0406100560027,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,308.03962020421795,0.069767441860465
113,BALDWIN SPENCER BUILDING,135.2661050670247,0.375
173,OLD ENGINEERING SCHOOL,406.75667490964537,2.0
166,OLD METALLURGY BUILDING,351.95833048421406,0.1
163,WALTER BOAS BUILDING,297.674943912851,0.229166666666667
161,BUILDING 161,313.5231247425735,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),452.26112152841205,0.02
153,CHEMISTRY BUILDING (WEST WING),222.62570578566627,0.022727272727273
155,OLD GEOLOGY BUILDING (NORTH WING),308.35441419899774,0.733333333333333
115,REDMOND BARRY BUILDING,213.0837068263808,0.263157894736842
115,REDMOND BARRY BUILDING,212.73674833963952,0.263157894736842
165,CHEMICAL ENGINEERING 1,333.48548275188074,0.010526315789474
192,DAVID CARO BUILDING,332.48311230561364,0.046511627906977
133,GLYN DAVIS BUILDING,220.35912612965114,0.221153846153846
160,PETER HALL BUILDING,370.4901105056122,0.085106382978723
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),565.3284305259689,0.123287671232877
198,1888 BUILDING,503.49943801376554,0.0
103,NONA LEE SPORTS CENTRE,228.02967323634272,0.0
168,DOUG MCDONELL BUILDING,413.92908279623543,0.052083333333333
189,FRANK TATE BUILDING,481.7146160162018,0.0
158,SIDNEY MYER ASIA CENTRE,478.2422857039446,0.074074074074074
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),448.94102369959415,0.0
162,ALICE HOY BUILDING,378.99213797959897,0.056603773584906
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),435.20981747766376,0.0
192,DAVID CARO BUILDING,333.38792958178186,0.046511627906977
192,DAVID CARO BUILDING,371.4841739220099,0.046511627906977
136,IAN POTTER MUSEUM OF ART,404.03531875323483,0.1
134,ELISABETH MURDOCH BUILDING,336.57042850751174,0.290322580645161
103,NONA LEE SPORTS CENTRE,140.69216396315957,0.0
498,ERNIE CROPLEY SPORTS PAVILION,374.623100282407,0.0
503,MAINTENANCE GARAGE,421.15610853627004,0.0
234,GRAND STAND (MU SPORT),285.38095471094744,0.0
186,BUILDING 186,396.26293926677073,0.0
148A,ARTS WEST BUILDING (NORTH WING),151.50018840582425,0.0
125,BUILDING 125,109.62702248168603,0.0
151,WILSON HALL,227.5135224506487,0.0
154,CHEMISTRY BUILDING (EAST WING),297.38620931364414,0.015873015873016
174,INFRASTRUCTURE ENGINEERING (BLOCK C),464.32626176180946,0.011111111111111
