BUILD_NO,NAME,COST,REWARD
142,FVAS BUILDING,641.4344618445086,0.0
147,BIOSCIENCES 4,609.0569683687548,1.346938775510204
147,BIOSCIENCES 4,578.58977312992,1.346938775510204
147,BIOSCIENCES 4,557.9812742072003,1.346938775510204
141,CONSERVATORIUM OF MUSIC,559.6595250790847,0.0
194,BIOSCIENCES 5,530.9284485250218,0.0
144,KENNETH MYER BUILDING,488.4679634933936,21.333333333333332
184,OLD MICROBIOLOGY BUILDING,481.17547969094454,0.988636363636364
183,HOWARD FLOREY INSTITUTE,465.33145997367467,0.0
181,MEDICAL BUILDING,359.4399857784132,0.0
182,BROWNLESS BIOMEDICAL LIBRARY,381.82967826548696,2.363636363636364
177,BAILLIEU LIBRARY,420.8672345609483,5.136363636363637
140,GRAINGER MUSEUM,627.9072044704243,0.0
122,BIOSCIENCES 2,573.8724451550249,0.172413793103448
139,BABEL BUILDING,541.9844811058063,1.377358490566038
121,BOTANY POTTING SHED,593.3090260466304,0.0
101,BEAUREPAIRE CENTRE,610.1763286423892,0.0
112,UNIVERSITY HOUSE,603.1040817967536,0.0
191,JOHN MEDLEY BUILDING,278.6713955878349,0.0
191,JOHN MEDLEY BUILDING,228.750113538368,0.0
187,GATEKEEPER'S LODGE,259.48787222445003,0.0
149,OLD ARTS BUILDING,411.8294417683487,1.595238095238095
143,BIOSCIENCES 3,502.00773060119656,0.0
128,OLD PHYSICS BUILDING,459.91214935371767,21.0
130,UNION HOUSE,472.8503796023738,0.0
150,OLD QUADRANGLE BUILDING,411.4161443922557,0.0
152,RAYMOND PRIESTLEY BUILDING,428.7202543366569,0.0
152,RAYMOND PRIESTLEY BUILDING,408.5633718409036,0.0
150,OLD QUADRANGLE BUILDING,393.2543727324059,0.0
150,OLD QUADRANGLE BUILDING,366.6875207725316,0.0
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,236.7143535172108,0.447674418604651
113,BALDWIN SPENCER BUILDING,517.2273167147881,2.375
173,OLD ENGINEERING SCHOOL,112.85074004116282,17.75
166,OLD METALLURGY BUILDING,172.85032677919347,1.2
163,WALTER BOAS BUILDING,243.85889545569776,1.645833333333333
161,BUILDING 161,267.8952871766429,0.0
175,INFRASTRUCTURE ENGINEERING (BLOCK B),195.27713677280653,0.27
153,CHEMISTRY BUILDING (WEST WING),304.36126837031594,0.227272727272727
155,OLD GEOLOGY BUILDING (NORTH WING),337.8895758632538,7.466666666666667
115,REDMOND BARRY BUILDING,526.9402654202543,2.631578947368421
115,REDMOND BARRY BUILDING,498.68841010462324,2.631578947368421
165,CHEMICAL ENGINEERING 1,222.64640059177069,0.063157894736842
192,DAVID CARO BUILDING,459.4207481985649,0.517441860465116
133,GLYN DAVIS BUILDING,409.3546506550576,1.759615384615385
160,PETER HALL BUILDING,293.16961162287805,1.063829787234043
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),84.38799789470413,1.132420091324201
198,1888 BUILDING,76.12153555088615,0.0
103,NONA LEE SPORTS CENTRE,572.0636124692234,0.0
168,DOUG MCDONELL BUILDING,182.16002673431214,0.497395833333333
189,FRANK TATE BUILDING,136.69107546618503,0.0
158,SIDNEY MYER ASIA CENTRE,193.56556675491652,1.666666666666667
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),130.42807806287408,0.0
162,ALICE HOY BUILDING,246.61502274238742,0.60377358490566
171,EASTERN RESOURCE CENTRE (ERC LIBRARY),166.05516720581772,0.0
192,DAVID CARO BUILDING,492.04248399837024,0.517441860465116
192,DAVID CARO BUILDING,456.210952240594,0.517441860465116
136,IAN POTTER MUSEUM OF ART,408.0065963298809,2.6
134,ELISABETH MURDOCH BUILDING,402.7480607207638,3.387096774193548
103,NONA LEE SPORTS CENTRE,574.3213148789351,0.0
498,ERNIE CROPLEY SPORTS PAVILION,954.9763771615392,0.0
503,MAINTENANCE GARAGE,945.4919574340537,0.0
234,GRAND STAND (MU SPORT),889.8967875145934,0.0
186,BUILDING 186,311.4359461706014,0.0
148A,ARTS WEST BUILDING (NORTH WING),485.85645321990836,0.0
125,BUILDING 125,701.3677369983953,0.0
151,WILSON HALL,304.63206029047507,0.0
154,CHEMISTRY BUILDING (EAST WING),298.2870262042353,0.19047619047619
